rubro,categoria_id,clae2,categoria_desc,clae2_desc,lista_de_productos
FRACCIONAMIENTO Y EMPAQUE DE ARROZ,2,10,Elaboradores,Elaboración de productos alimenticios,
FRIGORIFICO PARA  MOSTO,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
FRIGORIFICOS PARA  FRUTAS,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
FRIGORIFICOS Y EMPAQUE PARA  FRUTAS,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
FRUTICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
FRUTICULTURA/AGRICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
FRUTICULTURA/HORTICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
GANADERIA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
GANADERIA/FRUTICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
HORTICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
INDUSTRIA CARNICA,2,10,Elaboradores,Elaboración de productos alimenticios,
INDUSTRIA LACTEA,2,10,Elaboradores,Elaboración de productos alimenticios,
INDUSTRIA VITIVINICOLA,2,11,Elaboradores,Elaboración de bebidas,
INDUSTRIALIZACION DE FRUTAS DESECADAS,2,10,Elaboradores,Elaboración de productos alimenticios,
INDUSTRIALIZACION DE LIMON,2,10,Elaboradores,Elaboración de productos alimenticios,
INDUSTRIALIZACION DE YERBA MATE,2,10,Elaboradores,Elaboración de productos alimenticios,
LIMPIEZA DE GRANOS,2,10,Elaboradores,Elaboración de productos alimenticios,
MOLINO DE YERBA MATE,2,10,Elaboradores,Elaboración de productos alimenticios,
OTROS,2,10,Elaboradores,Elaboración de productos alimenticios,"TURRON, GARRAPIÑADA, CARAMELOS, CHUPETINES, MIEL ; FRUTAS Y HORTALIZAS FRESCAS, DULCES ; AZUCAR DE CAÑA ; ACEITE DE PARAMELA ; ROSA MOSQUETA, CASCARILLA DE ROSA MOSQUETA, ACEITE DE ROSA MOSQUETA"
"PANIFICACION, GRANOS Y CEREALES, HARINAS, LEGUMBRES, YERBA MATE, AZUCAR, MIEL",2,10,Elaboradores,Elaboración de productos alimenticios,
